,type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location
0,mbdata,20140123170000,POK,follow us @pok krono,,,
1,mbdata,20140123170000,maha_Homeland,do n't miss moment   follow live coverag pok ralli park,,,
2,mbdata,20140123170000,Viktor-E,come join us park music tonight abila citi park,,,
3,mbdata,20140123170000,KronosStar,pok ralli start abila citi park pok leader sylvia marek open speech � kronosstar,,,
4,mbdata,20140123170000,AbilaPost,pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
5,mbdata,20140123170000,ourcountryourrights,pok ralli park tonight pokral,,,
6,mbdata,20140123170000,ReggieWassali,great day ralli rememberjuliana rememberelian pok,,,
7,mbdata,20140123170000,MindOfKronos,ugh poker anooy pok gowaway,,,
8,mbdata,20140123170000,FriendsOfKronos,massiv ralli pok terrorist cop gather wait arrest,,,
9,ccdata,20140123170000,,keep the peac crowd control abila citi park,,,Egeou St / Parla St
10,mbdata,20140123170000,rockinHW,artist musician need follow click   followme.kronos/artist abila artist,,,
11,mbdata,20140123170000,KronosQuoth,success walk failur failur loss enthusiasm   pokral hi,,,
12,mbdata,20140123170000,KronosQuoth,a person never made mistak never tri anyth new   kronosstar pokral,,,
13,mbdata,20140123170024,KronosQuoth,the person destin becom person decid   kronosstar pokral,,,
14,mbdata,20140123170024,KronosQuoth,knowledg awar wisdom know   pokral hi,,,
15,mbdata,20140123170055,Clevvah4Evah,i want job 80 mental 30 fiscal pok ralli grammar,,,
16,mbdata,20140123170055,KronosQuoth,the mean life find gift the purpos life give away   pokral hi,,,
17,mbdata,20140123170100,rrWine,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
18,mbdata,20140123170119,KronosQuoth,if re go hell keep go   pokral hi,,,
19,mbdata,20140123170119,KronosQuoth,you miss 100 shot nt take   kronosstar pokral,,,
20,mbdata,20140123170119,KronosQuoth,you may succeed desir succeed may fail mind fail   pokral hi,,,
21,mbdata,20140123170119,KronosQuoth,i nt fail test i found 100 way wrong   kronosstar pokral,,,
22,mbdata,20140123170150,KronosQuoth,to accomplish great thing must act also dream plan also believ pokral hi,,,
23,mbdata,20140123170150,KronosQuoth,think becom capit asset matter whatev up down come across life   pokral hi,,,
24,mbdata,20140123170150,KronosQuoth,do n't afraid give good go great   pokral hi,,,
25,mbdata,20140123170200,pinky,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
26,mbdata,20140123170200,BlueVelvet,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
27,mbdata,20140123170200,dragonRider1,rt @mindofkrono ugh poker anooy pok gowaway,,,
28,ccdata,20140123170210,,traffic stop,,,N. Els St / N. Polvo St
29,mbdata,20140123170221,Clevvah4Evah,you penultim girlfriend pok ralli grammar,,,
30,mbdata,20140123170221,KronosQuoth,i product circumst i product decis   kronosstar pokral,,,
31,mbdata,20140123170221,KronosQuoth,success know purpos life grow reach maximum potenti sow seed benefit other   pokral hi,,,
32,mbdata,20140123170221,KronosQuoth,the person destin becom person decid   kronosstar pokral,,,
33,mbdata,20140123170231,POK,pok leader sylvia market take stage warm welcom crowd,,,
34,mbdata,20140123170231,AbilaPost,concern violenc surround pok ralli today heavi polic presenc abilapost,,,
35,mbdata,20140123170246,KronosQuoth,it never late might   kronosstar pokral,,,
36,mbdata,20140123170246,KronosQuoth,you may fight battl win   pokral hi,,,
37,mbdata,20140123170246,KronosQuoth,in order succeed desir success greater fear failur   kronosstar pokral,,,
38,mbdata,20140123170246,KronosQuoth,if want children turn well spend twice much time half much money   kronosstar pokral,,,
39,mbdata,20140123170300,blueSunshine,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
40,mbdata,20140123170300,dtennent,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
41,mbdata,20140123170300,BlueVelvet,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
42,mbdata,20140123170316,KronosQuoth,it year life count it life year   kronosstar pokral,,,
43,mbdata,20140123170316,KronosQuoth,if n't valu time neither other stop give away time talents- start charg   pokral hi,,,
44,mbdata,20140123170331,klingon4real,rt @abilapost concern violenc surround pok ralli today heavi polic presenc abilapost,,,
45,mbdata,20140123170338,KronosQuoth,if n't valu time neither other stop give away time talents- start charg   pokral hi,,,
46,mbdata,20140123170344,POK,sylvia marek introduc guest,,,
