,type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location
0,ccdata,20140123183100,,traffic stop,,,N. Carnero St / N. Pilai St
1,mbdata,20140123183100,KronosQuoth,there traffic jam along extra mile   kronosstar pokral,,,
2,mbdata,20140123183100,KronosQuoth,you take life hand happen a terribl thing one blame   kronosstar pokral,,,
3,mbdata,20140123183128,KronosQuoth,intuit influenc observ pokral hi,,,
4,mbdata,20140123183128,KronosQuoth,believ halfway   kronosstar pokral,,,
5,mbdata,20140123183128,KronosQuoth,life find life creat   pokral hi,,,
6,mbdata,20140123183128,KronosQuoth,either run day day run   kronosstar pokral,,,
7,mbdata,20140123183152,KronosQuoth,peopl often say motiv nt last well neither bath   that recommend daili   kronosstar pokral,,,
8,mbdata,20140123183152,Clevvah4Evah,my boss made 360 last decis pok ralli grammar,,,
9,mbdata,20140123183213,cheapgoods998,i got cheap medic onlin without prescript meds.kronos/cheapm krono abila,,,
10,mbdata,20140123183213,KronosQuoth,if will risk usual settl ordinari   pokral hi,,,
11,mbdata,20140123183213,KronosQuoth,good thing come peopl wait better thing come go get   pokral hi,,,
12,mbdata,20140123183213,maskedWoman101,r famous haha   badprofiles.kronos/tacki    abila pictur,,,
13,mbdata,20140123183221,maha_Homeland,dr. newman advis activist keep pressur never let,,,
14,ccdata,20140123183221,,traffic stop,,,N. Pilau St / N. Aveny St
15,ccdata,20140123183223,,park check,,,3801 N. Spetson St
16,ccdata,20140123183224,,suspici subject circumst in progress,,,1218 Ipsilantou Ave
17,mbdata,20140123183239,KronosQuoth,think becom capit asset matter whatev up down come across life   pokral hi,,,
18,mbdata,20140123183239,KronosQuoth,how wonder nobodi need wait singl moment start improv world   kronosstar pokral,,,
19,mbdata,20140123183239,KronosQuoth,the question nt go let go stop   kronosstar pokral,,,
20,mbdata,20140123183239,KronosQuoth,when everyth seem go rememb airplan take wind   kronosstar pokral,,,
21,mbdata,20140123183308,KronosQuoth,noth world common unsuccess peopl talent   pokral hi,,,
22,mbdata,20140123183308,Clevvah4Evah,serv filay minion tonit pok ralli grammar,,,
23,mbdata,20140123183308,Clevvah4Evah,my hand hurt i think i carpet tunnel pok ralli grammar,,,
24,mbdata,20140123183324,pashmina887,ca n't wait cruis leav stink island downwithkrono,,,
25,mbdata,20140123183324,choconibbs,anoth half hour wast pokral,,,
26,mbdata,20140123183324,truccotrucco,realli feelin doc kinda wish sylvia would keep speak pok,36.052,24.852,
27,mbdata,20140123183334,KronosQuoth,develop success failur discourag failur two surest step stone success   pokral hi,,,
28,mbdata,20140123183354,KronosQuoth,all progress take place outsid comfort zone   pokral hi,,,
29,mbdata,20140123183354,KronosQuoth,do   kronosstar pokral,,,
30,mbdata,20140123183354,KronosQuoth,what 's point aliv n't least tri someth remark   pokral hi,,,
31,mbdata,20140123183418,trollingsnark,hello how even go island paradis abilaparadis,,,
32,mbdata,20140123183418,choconibbs,ok fellow flit i 'm get enviro harm coffe pokral,,,
33,mbdata,20140123183418,Officia1AbilaPost,afd break scandal set fire rundown neighborhood train exercis accident urban renew   smad.co.kronos/383xaw,,,
34,ccdata,20140123183418,,subject stop,,,S. Maskin St / S. Eleftherias St
35,mbdata,20140123183424,KronosQuoth,everi child artist   the problem remain artist grow   kronosstar pokral,,,
36,mbdata,20140123183424,KronosQuoth,develop success failur discourag failur two surest step stone success   pokral hi,,,
37,mbdata,20140123183424,KronosQuoth,teach thi tongu say i know thous shalt progress   kronosstar pokral,,,
38,mbdata,20140123183448,KronosQuoth,intuit influenc observ pokral hi,,,
39,mbdata,20140123183448,KronosQuoth,peopl often say motiv nt last well neither bath   that recommend daili   kronosstar pokral,,,
40,mbdata,20140123183448,KronosQuoth,everi child artist   the problem remain artist grow   kronosstar pokral,,,
41,mbdata,20140123183500,GreyCatCollectibles,omg realli smell like smoke,,,
42,mbdata,20140123183500,POK,get involv pok.kronos/join,,,
43,mbdata,20140123183500,ourcountryourrights,dr. newman say keep pressur pok,,,
44,mbdata,20140123183500,ReggieWassali,power enemi think drnewman pokral,,,
45,mbdata,20140123183500,FriendsOfKronos,enemi doc peopl krono kidnap victim pok terrror ridicul pok,,,
46,ccdata,20140123183500,,disturb nois,,,3114 N. Asiant St
47,mbdata,20140123183514,KronosQuoth,take one idea make one idea life think dream live idea.#pokr hi,,,
48,mbdata,20140123183524,sarajane,rt @pashmina887 ca n't wait cruis leav stink island downwithkrono,,,
49,mbdata,20140123183524,microBanana,rt @truccotrucco realli feelin doc kinda wish sylvia would keep speak pok,,,
